year,region_treat,unit_price_per_sqm
2011,0,62312.0
2011,1,85210.0
2012,0,44250.0
2013,0,36593.423214566355
2013,1,57125.18150387384
2014,0,40770.01645380026
2014,1,61588.746899460646
2015,0,43506.455141395956
2015,1,61251.73554177715
2016,0,42079.836985248876
2016,1,58708.49190938409
2017,0,47062.08715232383
2017,1,59073.03658894351
2018,0,58541.03433414826
2018,1,70608.95456317099
2019,0,58461.02249487922
2019,1,70417.54746032675
2020,0,61399.55986408614
2020,1,76078.30346821017
2021,0,66199.9445237718
2021,1,87015.30509068581
2022,0,79071.62206979925
2022,1,98845.57384884442
2023,0,86334.85931286718
2023,1,104283.65764843619
2024,0,91958.6900817016
2024,1,110003.8815485634
2025,0,89345.34895411605
2025,1,110165.25
